X13A1 X13A2 X13A3 IC39A1 IC39A2 IC39A3 genenames
187 194 193 150 162 182 WASH7P
247 251 265 172 225 242 WASH9P
213 218 247 175 229 252 NA
570 467 513 400 462 581 NA
303 227 329 130 167 240 MTND2P28
1187 1020 1309 783 826 430 MTCO1P12
4814 4090 5024 2541 3192 3865 MTATP6P1
288 225 260 238 327 331 LINC01409
60 47 58 51 53 67 FAM87B
551 490 545 986 1112 1157 LINC01128
53 42 62 67 47 74 NA
466 411 501 564 641 709 NA
23 24 25 37 51 56 LINC02593
31 29 14 58 74 101 SAMD11
1867 1628 1839 1515 1841 2028 NOC2L
481 444 492 252 377 470 KLHL17
300 194 218 166 220 252 NA
2666 1664 2052 1145 1492 1877 HES4
92 61 66 38 42 42 NA
273 251 268 51 78 90 ISG15
80 68 71 43 69 60 NA
6728 5955 5992 5535 7846 10060 AGRN
656 558 647 487 661 741 C1orf159
85 81 97 110 102 145 NA
2346 2029 2361 1754 2252 2448 SDF4
1195 1036 1246 1061 1391 1516 B3GALT6
1621 1466 1538 1331 1761 1798 UBE2J2
119 148 132 57 83 88 NA
282 226 248 105 152 180 SCNN1D
1920 1570 1696 2223 2944 3408 ACAP3
181 187 200 114 191 210 PUSL1
2227 1935 2099 1480 1948 2267 INTS11
91 67 78 106 113 79 NA
477 405 498 333 438 540 CPTP
123 133 123 71 84 125 TAS1R3
1776 1457 1710 852 1126 1369 DVL1
848 744 838 228 278 307 MXRA8
1539 1406 1545 880 1192 1192 AURKAIP1
6800 6080 6558 4855 5609 5864 CCNL2
738 585 694 448 511 598 MRPL20-AS1
1087 998 1153 741 932 1007 MRPL20
129 102 141 48 55 56 NA
470 326 398 167 177 201 NA
38 23 41 48 48 50 ANKRD65
23 35 30 43 37 38 NA
37 35 43 32 43 61 TMEM88B
328 261 261 196 227 240 VWA1
1392 1200 1302 884 1097 1169 ATAD3B
776 785 849 641 836 914 ATAD3A
214 186 213 112 133 174 TMEM240
2835 2610 2897 2620 3303 3464 SSU72
72 77 83 51 55 72 NA
92 92 101 98 150 238 FNDC10
379 288 326 295 310 357 NA
1408 1061 1240 798 1163 1225 MIB2
1247 1118 1266 949 1108 1270 CDK11B
2973 2589 2665 3662 4479 4933 SLC35E2B
191 149 165 155 177 216 NA
112 71 90 96 104 93 NA
58 48 45 24 32 53 CDK11A
170 93 103 134 166 185 NA
1083 897 971 1295 1496 1579 NA
171 127 158 133 176 215 NA
1889 1540 1747 1204 1382 1520 NADK
47 42 46 64 72 78 NA
13176 11163 12605 11509 13548 14389 GNB1
31 22 21 42 65 78 CFAP74
8 5 6 32 24 40 GABRD
409 409 406 388 485 541 PRKCZ
224 218 201 187 235 228 PRKCZ-AS1
1083 1072 1114 719 960 1143 FAAP20
5633 4958 5256 2903 3549 4312 SKI
216 175 213 66 79 87 LOC124903824
580 497 497 577 761 726 MORN1
46 42 46 76 81 109 LOC100129534
37 40 28 47 47 63 NA
2125 1800 2080 1734 1956 2133 RER1
547 447 483 315 394 469 PEX10
213 181 159 165 206 249 PLCH2
1412 1166 1377 892 1103 1134 PANK4
4212 2693 3046 1646 2180 2740 HES5
239 144 199 35 44 59 NA
47 40 63 27 29 40 NA
1243 1079 1161 701 961 1038 PRXL2B
320 265 321 98 92 118 TTC34
64 51 37 323 403 538 PRDM16-DT
199 167 177 984 1226 1444 PRDM16
5 2 4 23 39 47 NA
10 9 10 78 89 87 NA
2 1 7 28 43 40 NA
7 4 8 92 105 125 NA
4 2 6 49 33 53 NA
145 152 128 145 167 186 ARHGEF16
1042 952 953 802 1029 1203 MEGF6
62 43 44 16 29 24 NA
848 728 763 491 585 680 TPRG1L
677 571 598 465 618 647 WRAP73
111 100 85 150 169 242 TP73
1202 1118 1095 874 1087 1074 GFOD3P
63 51 41 22 29 22 CCDC27
53 49 54 26 29 31 SMIM1
1857 1648 1822 1554 1670 1788 LRRC47
48 45 53 59 27 47 NA
1381 1137 1307 1253 1462 1563 CEP104
250 224 248 220 282 261 DFFB
1070 880 970 724 795 868 C1orf174
20 23 24 32 48 37 LINC01134
91 76 109 153 168 205 AJAP1
1866 1586 1693 1161 1455 1577 NPHP4
681 523 591 400 540 585 KCNAB2
20 19 27 200 246 273 CHD5
9798 7800 8901 3249 3424 3615 RPL22
235 200 185 101 120 169 RNF207
6618 5830 6616 3394 3981 4164 ICMT
64 66 68 28 30 38 ICMT-DT
1557 1380 1465 142 190 221 HES3
2480 2147 2239 1784 2303 2749 GPR153
2420 2152 2475 2092 2615 2890 ACOT7
160 106 137 8 11 21 ESPN
527 451 466 307 392 447 TNFRSF25
1903 1360 1606 999 1269 1462 PLEKHG5
2608 2429 2768 2970 3477 3642 NOL9
48 57 41 57 73 57 NA
786 641 787 567 778 784 ZBTB48
751 665 710 326 410 430 KLHL21
2496 2303 2547 1244 1410 1593 PHF13
804 678 740 380 454 514 THAP3
